recording_id,source_id,azimuth,vertical_elevation,horizontal_elevation
1,85,57,-29,0
2,93,225,-30,0
3,15,201,30,0
4,73,80,30,0
5,61,265,-30,0
6,81,30,-30,0
7,63,5,-30,0
8,56,245,30,0
9,65,212,0,0
9,114,45,-30,0
10,9,201,-30,0
10,102,21,30,0
11,5,147,29,0
11,110,292,0,0
12,7,339,30,0
12,25,147,-29,0
13,51,190,0,0
13,79,50,-30,0
14,75,105,30,0
14,84,295,0,0
15,21,20,-30,0
15,105,251,0,0
16,118,251,0,0
16,120,45,30,0
17,36,260,0,0
17,42,45,30,0
17,60,15,-30,0
18,17,45,-30,0
18,94,185,30,0
18,96,60,0,0
19,26,190,-30,0
19,111,15,30,0
19,116,45,0,0
20,27,58,0,0
20,62,15,30,0
20,121,270,-30,0
21,33,10,30,0
21,76,270,-30,0
21,103,75,0,0
22,57,235,-30,0
22,86,140,30,0
22,109,325,0,0
23,43,265,0,0
23,48,35,30,0
23,95,65,-30,0
24,19,159,30,0
24,46,230,-30,0
24,111,355,0,0
25,5,238,0,0
25,41,340,30,0
25,59,130,-30,0
26,10,265,0,0
26,94,327,-29,0
26,99,145,30,0
27,11,67,0,0
27,49,15,30,0
27,72,225,-30,0
28,22,220,0,0
28,31,40,30,0
28,115,85,-30,0
29,33,20,-30,0
29,77,60,30,0
29,116,220,0,0
30,36,225,0,0
30,47,150,-30,0
30,81,330,30,0
31,13,355,30,0
31,20,235,0,0
31,96,111,-30,0
32,44,140,30,0
32,60,330,0,0
32,75,245,-30,0
33,7,5,30,0
33,22,260,-30,0
33,50,355,0,0
33,100,100,0,0
34,34,185,30,0
34,38,291,0,0
34,52,165,-30,0
34,105,80,30,0
35,37,33,29,0
35,43,355,30,0
35,48,95,0,0
35,92,245,-30,0
36,6,155,-30,0
36,27,220,-30,0
36,73,300,30,0
36,118,45,0,0
37,28,70,-30,0
37,75,205,-30,0
37,103,305,0,0
37,114,170,30,0
38,23,55,-30,0
38,27,135,30,0
38,35,195,30,0
38,117,290,0,0
39,22,280,0,0
39,31,213,29,0
39,74,140,-30,0
39,88,75,30,0
40,35,215,30,0
40,42,150,30,0
40,92,80,0,0
40,97,285,-30,0
41,8,159,-30,0
41,58,65,30,0
41,83,205,-30,0
41,89,291,0,0
42,32,210,-30,0
42,51,90,0,0
42,62,295,30,0
42,84,175,-30,0
43,34,265,30,0
43,39,115,0,0
43,109,330,0,0
43,113,0,-30,0
44,45,0,-30,0
44,52,255,0,0
44,57,130,30,0
44,122,25,-30,0
45,9,140,-30,0
45,60,280,0,0
45,80,60,30,0
45,88,200,30,0
46,4,240,0,0
46,19,5,30,0
46,55,95,-30,0
46,110,330,-30,0
47,12,85,0,0
47,68,180,30,0
47,90,280,-30,0
47,96,199,0,0
48,60,145,-30,0
48,68,185,-30,0
48,94,85,0,0
48,107,315,30,0
49,11,100,0,0
49,18,5,-30,0
49,37,345,0,0
49,59,260,30,0
49,93,50,30,0
50,16,315,0,0
50,27,165,30,0
50,51,270,-30,0
50,62,122,0,0
50,121,195,-30,0
51,10,220,0,0
51,19,95,-30,0
51,50,295,30,0
51,71,155,30,0
51,112,285,0,0
52,5,105,30,0
52,37,150,-30,0
52,56,195,0,0
52,94,289,0,0
52,113,335,-30,0
