recording_id,source_id,azimuth,elevation
1,68,85,0
1,22,40,-30
1,9,230,30
2,29,190,0
2,4,325,30
2,36,238,0
2,50,160,-30
2,43,50,0
2,33,339,-30
2,73,90,30
2,74,150,30
2,61,255,-30
3,6,205,0
3,59,55,-30
3,19,20,30
4,72,85,30
5,9,350,-30
5,4,130,-30
5,2,35,0
5,56,265,30
5,25,5,30
6,29,300,30
6,6,285,-30
6,25,15,-30
6,71,130,30
6,27,190,0
6,77,150,0
7,36,300,-30
7,33,5,-30
7,30,135,30
7,8,155,0
7,58,195,0
7,41,320,30
8,4,95,30
8,36,25,-30
8,71,295,-30
8,31,130,0
8,55,285,0
8,23,15,30
8,21,220,0
9,4,265,30
9,61,170,30
9,25,45,0
9,77,100,0
9,32,55,-30
9,37,315,-30
9,49,325,30
9,48,190,-30
10,67,69,30
10,15,235,-30
11,29,339,-30
11,36,115,0
11,15,250,30
11,10,21,-30
12,4,292,0
12,58,120,30
12,10,155,-30
12,35,330,-30
12,80,195,0
13,4,80,30
13,54,265,0
14,36,140,0
14,27,325,30
14,31,302,0
14,23,250,-30
14,7,75,30
14,47,260,0
14,78,65,-30
14,63,185,-30
14,18,170,30
15,8,105,0
15,32,60,30
15,17,25,-30
15,70,245,-30
15,28,350,30
16,16,170,30
16,11,310,-30
17,47,225,30
18,29,40,30
18,21,220,30
18,35,355,0
18,7,160,-30
18,28,110,-30
18,38,90,0
18,52,60,0
18,45,195,-30
18,62,295,0
18,13,280,30
19,22,135,0
19,29,30,30
19,6,20,-30
19,55,320,-30
19,47,180,0
19,20,300,0
19,60,95,30
20,36,235,0
20,73,75,0
20,32,140,0
20,48,50,30
20,60,345,-30
20,5,5,30
20,53,250,-30
20,34,165,-30
20,76,325,30
20,12,185,30
21,4,320,-30
21,36,45,30
21,31,111,-30
21,23,180,-30
21,10,195,0
21,28,265,30
21,51,300,0
21,39,25,0
22,29,160,30
22,35,40,0
22,38,355,30
22,52,195,-30
22,62,300,30
22,13,125,30
22,5,205,0
22,44,109,0
22,26,280,-30
22,75,30,-30
23,36,210,-30
23,43,280,30
23,30,111,-30
23,26,40,30
23,64,10,-30
23,24,295,0
23,14,130,0
24,65,245,-30
24,69,343,0
24,1,170,30
25,29,260,30
25,36,175,-30
25,59,45,0
25,25,105,-30
25,27,320,-30
25,8,295,0
25,42,202,0
25,79,35,30
26,22,145,30
26,48,71,0
26,3,275,-30
26,66,215,0
27,22,70,-30
27,29,230,-30
27,43,50,0
27,72,140,30
27,7,320,30
27,75,249,0
28,6,150,30
28,32,50,-30
28,57,305,0
28,46,210,-30
29,73,150,-30
29,8,235,0
29,31,350,30
29,18,270,-30
29,38,71,0
29,53,120,30
29,76,17,0
29,24,5,30
29,40,225,-30
30,58,245,-30
